Timestamp,State,Bumper_Triggered,Current_Distance,IR_Sensor_1,IR_Sensor_2,PID_Correction,Speed_Left,Speed_Right
1729957496.0784278,Wall Following,False,12.61,107,110,5,10,1
1729957496.8862667,Wall Following,False,12.52,110,133,1.54,6.54,3.46
1729957497.3812065,Wall Following,False,11.52,249,295,0.23,5.23,4.77
1729957497.8762927,Wall Following,False,10.7,374,416,0.09,5.09,4.91
1729957498.415986,Wall Following,False,9.89,493,541,-0.23,4.77,5.23
1729957498.911195,Wall Following,False,8.95,625,689,-0.72,4.28,5.72
1729957499.361138,Wall Following,False,7.97,772,838,-1.17,3.83,6.17
1729957499.811569,Wall Following,False,7.15,915,939,-1.33,3.67,6.33
1729957500.2610297,Wall Following,False,6.67,994,1006,-1.2,3.8,6.2
1729957500.755561,Wall Following,False,6.91,964,964,-0.38,4.62,5.38
1729957501.2515917,Wall Following,False,7.48,899,856,0.19,5.19,4.81
1729957501.700981,Wall Following,False,7.55,865,870,-0.3,4.7,5.3
1729957502.1962943,Wall Following,False,7.43,875,897,-0.54,4.46,5.54
1729957502.6910455,Wall Following,False,7.52,889,856,-0.29,4.71,5.29
1729957503.1412065,Wall Following,False,7.85,817,828,0.08,5.08,4.92
1729957503.5910308,Wall Following,False,8.0,812,789,-0.05,4.95,5.05
1729957504.0876708,Wall Following,False,8.48,742,714,0.48,5.48,4.52
1729957504.5362794,Wall Following,False,8.63,693,717,0.22,5.22,4.78
1729957504.986418,Wall Following,False,8.21,758,778,-0.53,4.47,5.53
1729957505.4361224,Wall Following,False,8.23,780,751,-0.08,4.92,5.08
1729957505.9309633,Wall Following,False,7.52,800,943,-1.09,3.91,6.09
1729957506.4262226,Wall Following,False,6.55,1118,918,-1.76,3.24,6.76
1729957506.8762314,Wall Following,False,12.31,296,12,5,10,1
1729957507.3713396,Wall Following,False,13.33,0,1,2.98,7.98,2.02
1729957507.911057,Wall Following,False,13.25,14,12,1.84,6.84,3.16
1729957508.3610666,Wall Following,False,13.23,6,26,1.91,6.91,3.09
1729957509.037052,Wall Following,True,12.86,65,77,1.42,6.42,3.58
1729957509.6661632,Wall Following,True,7.53,799,943,-5,1,10
1729957509.8015208,Wall Following,True,12.26,161,161,5,1,10
1729957510.296166,Wall Following,True,13.09,72,0,2.73,7.73,2.27
1729957510.7462082,Wall Following,True,13.33,0,0,2.25,7.25,2.75
1729957511.2861242,Wall Following,False,13.33,0,0,2.02,7.02,2.98
1729957511.7814002,Wall Following,False,13.33,1,0,2.02,7.02,2.98
1729957512.230697,Wall Following,False,13.33,0,0,2.04,7.04,2.96
1729957512.6805704,Wall Following,False,13.33,1,1,2.03,7.03,2.97
1729957513.1311462,Wall Following,False,13.26,12,11,1.95,6.95,3.05
1729957513.5812728,Wall Following,False,13.2,16,24,1.95,6.95,3.05
1729957514.076205,Wall Following,False,12.81,69,89,1.47,6.47,3.53
1729957514.571282,Wall Following,False,12.06,147,234,0.83,5.83,4.17
1729957515.0210698,Wall Following,False,6.45,807,1259,-5,1,10
1729957515.4710586,Wall Following,False,3.51,1757,1189,-4.8,1,9.8
1729957515.9211683,Wall Following,False,11.77,287,183,5,10,1
1729957516.4612265,Wall Following,False,12.66,80,122,2.7,7.7,2.3
1729957516.9111133,Wall Following,False,3.69,435,2457,-5,1,10
1729957517.4060948,Wall Following,False,-11.95,3759,3827,-5,1,10
1729957517.9460864,Wall Following,False,0.19,3201,743,5,10,1
1729957518.3962517,Wall Following,False,10.72,281,504,5,10,1
1729957518.846133,Wall Following,False,-10.86,3400,3858,-5,1,10
1729957519.2962983,Wall Following,False,-12.49,3868,3878,-5,1,10
1729957519.7461038,Wall Following,False,-12.51,3884,3870,-5,1,10
1729957520.2409005,Wall Following,False,8.96,925,386,5,10,1
1729957520.736051,Wall Following,False,12.83,22,130,5,10,1
1729957521.1861792,Wall Following,False,6.47,640,1419,-5,1,10
1729957521.6362286,Wall Following,False,-12.58,3885,3888,-5,1,10
1729957522.1333911,Wall Following,False,1.76,2806,666,5,10,1
1729957522.6711414,Wall Following,False,11.92,74,349,5,10,1
1729957523.166227,Wall Following,False,-4.45,1465,3869,-5,1,10
1729957523.706182,Wall Following,False,6.33,262,1838,5,10,1
1729957524.2011232,Wall Following,False,-3.17,1372,3578,-5,1,10
1729957524.8356476,Wall Following,True,-3.08,3846,1079,-4.71,1,9.71
1729957525.3271852,Wall Following,True,8.17,775,775,5,10,1
1729957525.4612875,Wall Following,True,12.41,138,138,5,10,1
1729957525.9113371,Wall Following,True,13.27,20,0,2.62,7.62,2.38
1729957526.4062495,Wall Following,True,13.33,0,0,1.87,6.87,3.13
1729957526.946377,Wall Following,False,13.32,2,1,1.8,6.8,3.2
1729957527.441461,Wall Following,False,13.33,2,0,1.82,6.82,3.18
1729957527.9363275,Wall Following,False,13.32,3,0,1.82,6.82,3.18
1729957528.4321506,Wall Following,False,13.32,2,2,1.83,6.83,3.17
1729957528.8811922,Wall Following,False,13.31,2,4,1.83,6.83,3.17
1729957529.3773975,Wall Following,False,13.3,4,7,1.83,6.83,3.17
1729957529.8288834,Wall Following,False,13.3,5,6,1.85,6.85,3.15
1729957530.2767963,Wall Following,False,13.29,7,6,1.85,6.85,3.15
1729957530.7713542,Wall Following,False,13.29,5,7,1.87,6.87,3.13
1729957531.2213047,Wall Following,False,13.29,5,7,1.88,6.88,3.12
1729957531.6712441,Wall Following,False,13.27,8,11,1.86,6.86,3.14
1729957532.1662416,Wall Following,False,13.22,14,20,1.82,6.82,3.18
1729957532.6158593,Wall Following,False,12.98,52,55,1.54,6.54,3.46
1729957533.1128883,Wall Following,False,12.84,63,86,1.59,6.59,3.41
1729957533.516345,Wall Following,False,12.37,123,166,1.09,6.09,3.91
1729957534.063792,Wall Following,True,11.75,227,247,0.7,5.7,4.3
1729957534.6482532,Wall Following,True,12.56,154,78,2.45,7.45,2.55
1729957534.778333,Wall Following,True,13.27,9,9,2.65,7.45,2.55
1729957535.1364162,Wall Following,True,13.33,2,0,2.03,7.03,2.97
1729957535.5863998,Wall Following,True,13.32,1,3,1.97,6.97,3.03
1729957536.0361845,Wall Following,False,13.32,1,3,1.99,6.99,3.01
1729957536.576222,Wall Following,False,13.32,1,4,1.99,6.99,3.01
1729957537.0713902,Wall Following,False,13.28,8,9,1.95,6.95,3.05
1729957537.5666263,Wall Following,False,13.26,9,13,1.98,6.98,3.02
1729957538.0613773,Wall Following,False,13.19,19,23,1.91,6.91,3.09
1729957538.5116751,Wall Following,False,13.14,26,33,1.91,6.91,3.09
1729957538.9614165,Wall Following,False,13.0,47,54,1.78,6.78,3.22
1729957539.456354,Wall Following,False,12.78,72,94,1.62,6.62,3.38
1729957539.9065084,Wall Following,False,12.39,131,152,1.3,6.3,3.7
1729957540.4014213,Wall Following,False,11.97,196,212,1.11,6.11,3.89
1729957540.89654,Wall Following,False,11.48,212,345,0.84,5.84,4.16
1729957541.301645,Wall Following,False,6.17,894,1256,-5,1,10
1729957541.7515874,Wall Following,False,7.15,1319,537,0.58,5.58,4.42
1729957542.1649315,Wall Following,False,7.32,837,968,-0.17,4.83,5.17
1729957542.6963067,Wall Following,True,6.98,1025,881,-0.81,4.19,5.81
1729957543.331744,Wall Following,True,3.86,2620,222,-4.85,1,9.85
1729957543.461959,Wall Following,True,12.25,162,162,5,1,9.85
1729957543.8662128,Wall Following,True,12.68,185,10,2.24,7.24,2.76
1729957544.2712755,Wall Following,True,13.33,0,0,2.73,7.73,2.27
1729957544.676769,Wall Following,False,13.33,0,2,2.08,7.08,2.92
1729957545.180117,Wall Following,False,13.32,1,4,2.09,7.09,2.91
1729957545.6213386,Wall Following,False,13.32,0,3,2.11,7.11,2.89
1729957546.0720654,Wall Following,False,13.28,8,9,2.05,7.05,2.95
1729957546.5210142,Wall Following,False,13.24,12,16,2.06,7.06,2.94
1729957547.0613387,Wall Following,False,13.12,28,35,1.94,6.94,3.06
1729957547.5115628,Wall Following,False,12.91,60,68,1.76,6.76,3.24
1729957548.0064204,Wall Following,False,12.53,108,133,1.46,6.46,3.54
1729957548.4112625,Wall Following,False,12.08,177,200,1.21,6.21,3.79
1729957548.861487,Wall Following,False,11.5,253,297,0.86,5.86,4.14
1729957549.311638,Wall Following,False,10.75,372,404,0.39,5.39,4.61
1729957549.7622154,Wall Following,False,9.74,516,561,-0.26,4.74,5.26
1729957550.3470244,Wall Following,False,8.34,691,807,-1.22,3.78,6.22
1729957550.796252,Wall Following,False,7.04,911,978,-1.65,3.35,6.65
1729957551.2924914,Wall Following,False,5.74,1107,1172,-2.17,2.83,7.17
1729957551.7415342,Wall Following,False,5.52,1147,1198,-1.18,3.82,6.18
1729957552.1919258,Wall Following,False,6.77,1001,967,0.79,5.79,4.21
1729957552.6408541,Wall Following,False,6.79,964,998,-0.44,4.56,5.44
1729957553.1362948,Wall Following,False,6.37,1056,1033,-1.06,3.94,6.06
1729957553.6320598,Wall Following,False,6.48,1029,1027,-0.48,4.52,5.48
1729957554.0820427,Wall Following,False,7.25,940,884,0.49,5.49,4.51
1729957554.531507,Wall Following,False,7.77,833,836,0.43,5.43,4.57
1729957554.981362,Wall Following,False,7.63,854,856,-0.27,4.73,5.27
1729957555.4765797,Wall Following,False,7.33,898,903,-0.57,4.43,5.57
1729957555.9181125,Wall Following,False,7.45,874,890,-0.09,4.91,5.09
1729957556.4213839,Wall Following,False,5.36,1116,1275,-3.15,1.85,8.15
